date,temperature,humidity,rainfall,wind_speed,day_type,month_name,consumption
2018-01-01,26.236203565420873,57.12114932744108,0.1,8.183651749169771,Weekday,January,108.7618659173122
2018-01-02,43.52142919229749,22.93658564021454,0.0,6.587585386041514,Weekday,January,69.78436370321225
2018-01-03,36.95981825434215,87.79421443160686,0.1,13.867550770377049,Weekday,January,113.16811481387414
2018-01-04,32.959754525911094,75.90999341582022,0.0,15.324909455207578,Weekend,January,99.44149831268157
2018-01-05,19.680559213273096,40.497542569067534,0.0,6.081892719425676,Weekday,January,119.20346566567105
2018-01-06,19.67983561008608,88.59792305511955,0.0,16.23254028889707,Weekend,January,138.95497411353963
2018-01-07,16.742508365045985,62.131711274542546,0.0,5.878335210098675,Weekend,January,128.9213714110218
2018-01-08,40.98528437324806,60.76958607450725,0.0,8.926527199731225,Weekday,January,73.92487544488259
2018-01-09,33.03345035229626,72.36512256006725,0.0,14.540370540282678,Weekend,January,110.44338839786784
2018-01-10,36.242177333881365,76.82388516630962,5.0,13.858404584495771,Weekday,January,101.98646680263194
2018-01-11,15.617534828874074,65.9535025132052,0.0,19.747369446244,Weekend,January,121.4142134075148
2018-01-12,44.097295564859834,28.966702245634004,0.0,4.503220484318637,Weekday,January,45.28724369811107
2018-01-13,39.97327922401266,43.67872541961489,0.0,13.246358270791648,Weekday,January,64.38129537721248
2018-01-14,21.370173320348286,84.96585482282349,0.0,12.193638165515548,Weekday,January,144.75075891014984
2018-01-15,20.454749016213018,35.723092829069635,0.0,18.301969089800597,Weekday,January,132.20408233599937
2018-01-16,20.502135295603015,46.051691668625935,0.0,3.127242832897501,Weekend,January,108.66407759671416
2018-01-17,24.127267288786133,50.24538180609372,0.1,15.035963271738659,Weekday,January,94.11663820450099
2018-01-18,30.742692948967136,50.758349278611654,0.0,11.365372325375366,Weekday,January,87.87236634914318
2018-01-19,27.958350559263472,62.905770774616784,0.0,5.493317395758108,Weekday,January,91.71734659336231
2018-01-20,23.736874205941255,86.01530864212953,0.0,9.488698282943481,Weekend,January,96.72973158161874
2018-01-21,33.35558684167138,36.84848982827535,0.0,6.675531941395956,Weekday,January,109.6113969545089
2018-01-22,19.184815819561255,28.505096341064267,0.0,11.586268055769217,Weekday,January,135.78107634734152
2018-01-23,23.764339456056547,33.82293429019561,0.1,17.78001221629332,Weekday,January,96.4097298392899
2018-01-24,25.99085529881075,82.08474301464886,0.0,11.386099688244041,Weekend,January,107.55636254779716
2018-01-25,28.682099526511077,65.20675688586442,0.0,12.63444836653168,Weekday,January,94.34986641341914
2018-01-26,38.55527884179041,40.01347524674121,0.0,10.374956942294189,Weekday,January,79.74110442544068
2018-01-27,20.99021346475079,77.11628572780322,0.0,1.0233101289095181,Weekday,January,142.54749762253033
2018-01-28,30.42703315240835,80.29589974544052,0.0,4.657171137521885,Weekend,January,109.02189412684561
2018-01-29,32.772437065861276,79.25600370831947,0.1,9.840034588641656,Weekday,January,111.31855463574617
2018-01-30,16.393512381599933,84.32485735476881,0.0,6.204705674894095,Weekday,January,135.5686350706021
2018-01-31,33.226345557043146,37.65687141213531,0.1,3.6352719552238844,Weekday,January,102.46404146951795
2018-02-01,20.115723710618745,72.85293501223947,0.0,10.082656838368766,Weekend,February,123.09112054826767
2018-02-02,16.951547789558386,52.2377648091898,0.1,6.456195868957007,Weekend,February,120.80738967679736
2018-02-03,43.466566117599996,78.9398987023043,0.0,5.162152863468295,Weekday,February,80.59474399349344
2018-02-04,43.96896099223678,70.99434740131292,0.0,9.279708348807617,Weekday,February,81.54411163106697
2018-02-05,39.25192044349383,74.35132125498072,0.0,2.665685161643463,Weekday,February,91.68407126819982
2018-02-06,24.13841307520112,65.93132863767501,5.0,18.554914661508146,Weekday,February,111.08825599015765
2018-02-07,17.930163420191516,32.42001386287948,0.0,17.35404195838478,Weekday,February,111.11651198120813
2018-02-08,35.52699079536471,58.15188432278568,0.0,14.152411714810707,Weekday,February,81.42251410280237
2018-02-09,28.20457481218804,88.92688176671557,0.0,2.124276551769124,Weekday,February,105.94028378770265
2018-02-10,18.661147045343366,85.61716465479833,0.1,15.51754508939386,Weekend,February,121.48182655030224
2018-02-11,29.855307303338105,23.022161505790816,0.0,16.15914656218038,Weekday,February,88.66918485510521
2018-02-12,16.031655633456552,31.537037101060598,0.1,15.355292354286753,Weekday,February,116.1904623973795
2018-02-13,42.27961206236346,29.22101414181933,0.0,2.279317742384823,Weekday,February,62.25926537046722
2018-02-14,22.763399448000506,70.81859369897069,0.0,12.878159141355294,Weekday,February,123.63757947485337
2018-02-15,34.875668530619464,77.24497308998616,0.0,16.686495914987972,Weekday,February,112.19822933749998
2018-02-16,24.35133228268233,34.94579564174703,10.0,11.547068024393354,Weekday,February,106.67191731642497
